s = "0";
d = "97";
A = {<"0","1",71,76>,
<"0","7",118,130>,
<"1","0",154,159>,
<"7","0",12,14>,
<"1","2",108,114>,
<"1","8",100,102>,
<"2","1",115,122>,
<"8","1",139,144>,
<"2","3",116,117>,
<"2","9",3,3>,
<"3","2",191,201>,
<"9","2",137,146>,
<"3","4",10,10>,
<"3","10",132,145>,
<"4","3",116,116>,
<"10","3",66,67>,
<"4","5",54,54>,
<"4","11",125,131>,
<"5","4",47,47>,
<"11","4",190,190>,
<"5","6",1,2>,
<"5","12",162,162>,
<"6","5",126,140>,
<"12","5",109,116>,
<"6","13",2,2>,
<"13","6",152,160>,
<"7","8",105,107>,
<"7","14",172,172>,
<"8","7",115,122>,
<"14","7",17,19>,
<"8","9",24,25>,
<"8","15",22,23>,
<"9","8",103,103>,
<"15","8",196,196>,
<"9","10",96,104>,
<"9","16",166,170>,
<"10","9",134,137>,
<"16","9",24,26>,
<"10","11",88,93>,
<"10","17",160,165>,
<"11","10",91,100>,
<"17","10",34,34>,
<"11","12",98,102>,
<"11","18",84,84>,
<"12","11",90,94>,
<"18","11",196,202>,
<"12","13",45,45>,
<"12","19",51,52>,
<"13","12",87,87>,
<"19","12",40,42>,
<"13","20",4,4>,
<"20","13",14,15>,
<"14","15",170,179>,
<"14","21",169,177>,
<"15","14",116,119>,
<"21","14",4,4>,
<"15","16",96,106>,
<"15","22",184,188>,
<"16","15",191,203>,
<"22","15",164,185>,
<"16","17",106,114>,
<"16","23",62,73>,
<"17","16",27,29>,
<"23","16",31,33>,
<"17","18",114,122>,
<"17","24",170,170>,
<"18","17",38,39>,
<"24","17",81,82>,
<"18","19",122,141>,
<"18","25",10,10>,
<"19","18",2,2>,
<"25","18",49,53>,
<"19","20",137,137>,
<"19","26",22,22>,
<"20","19",113,115>,
<"26","19",142,149>,
<"20","27",61,63>,
<"27","20",87,88>,
<"21","22",3,4>,
<"21","28",154,156>,
<"22","21",81,86>,
<"28","21",92,99>,
<"22","23",99,112>,
<"22","29",36,36>,
<"23","22",52,52>,
<"29","22",71,75>,
<"23","24",3,3>,
<"23","30",142,142>,
<"24","23",76,78>,
<"30","23",34,37>,
<"24","25",61,64>,
<"24","31",87,99>,
<"25","24",106,109>,
<"31","24",185,185>,
<"25","26",29,30>,
<"25","32",2,2>,
<"26","25",43,50>,
<"32","25",4,4>,
<"26","27",100,101>,
<"26","33",91,96>,
<"27","26",112,116>,
<"33","26",132,137>,
<"27","34",198,208>,
<"34","27",32,33>,
<"28","29",130,134>,
<"28","35",111,120>,
<"29","28",12,13>,
<"35","28",86,93>,
<"29","30",133,134>,
<"29","36",195,195>,
<"30","29",148,168>,
<"36","29",109,114>,
<"30","31",72,72>,
<"30","37",2,2>,
<"31","30",101,104>,
<"37","30",143,160>,
<"31","32",50,50>,
<"31","38",140,146>,
<"32","31",166,167>,
<"38","31",175,176>,
<"32","33",185,185>,
<"32","39",0,0>,
<"33","32",109,114>,
<"39","32",7,7>,
<"33","34",66,67>,
<"33","40",34,36>,
<"34","33",102,103>,
<"40","33",155,156>,
<"34","41",148,164>,
<"41","34",21,22>,
<"35","36",82,87>,
<"35","42",62,63>,
<"36","35",142,143>,
<"42","35",41,41>,
<"36","37",119,133>,
<"36","43",167,168>,
